occ_name,number,st_prefix,street,st_type,st_suffix,addr_2,apt_room,city,state,zip,property_class,prop_use,property,floors_above,floors_below,roof_cover,roof,construct,construction_ty,det_pres,det_present,det_type,detect_type,det_power,detector_power,aes_pres,aes_present,aes_type,aestype,first_name,last_name,phone,ext,name,first,last
Kgk Medical Billing Systems (home Bus),24929,W,AMBROSE,RD,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Gary,Kawabata,815-254-9673,,KGK MEDICAL BILLING SYSTEMS (HOME BUS),GARY,KAWABATA
Kh Kim Taekwondo,23836,W,135TH,ST,,,UNIT 113,Plainfield,IL,60585,1,141,Athletic/health club,1,0,7,B,4,U,1,P,1,S,4,H,N,N,,,,,,,KH KIM TAEKWONDO,,
Kiddie Academy,13703,S,RT 59,,,,,PLAINFIELD,IL,60544,2,254,"Day care, in commercial pro",1,0,7,B,4,U,1,P,5,M,4,H,1,P,1,W,,,,,KIDDIE ACADEMY,,
Kids First Pediatrics,24600,W,127TH,ST,,,SUITE 345,Plainfield,IL,60585,3,342,"Doctor, dentist or oral sur",3,0,7,B,3,P,1,P,11,S,4,H,1,P,1,W,Steve,Kovar,630-922-8099,,KIDS FIRST PEDIATRICS,STEVE,KOVAR
Kin-ko Ace Hardware,24604,W,LOCKPORT,ST,,,,PLAINFIELD,IL,60544,5,539,"Household goods, sales, rep",1,0,6,M,4,U,1,P,U,U,4,H,N,N,,,John,Tikalsky,630-963-7810,,KIN-KO ACE HARDWARE,JOHN,TIKALSKY
Kindercare,16010,S,FREDERICK,AVE,,,,PLAINFIELD,IL,60586,2,211,Preschool,1,0,2,C,6,U,1,P,31,S,4,H,N,N,,,Jule,Ruble,815-302-6655,,KINDERCARE,JULE,RUBLE
Kindred Hearts Warehouse/ Shop,11953,S,AERO,DR,,,,Plainfield,IL,60585,7,700,"Manufacturing, processing",1,0,0,R,4,U,1,P,5,M,4,H,N,N,,,,,,,KINDRED HEARTS WAREHOUSE/ SHOP,,
"Kindred Hearts, Inc.",23827,W,INDUSTRIAL,DR,S,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",2,0,6,M,4,U,N,N,,,,,N,N,,,Josh,Buchholz,630-546-4984,,"KINDRED HEARTS, INC.",JOSH,BUCHHOLZ
"Kindred Hearts, Inc.",23829,W,INDUSTRIAL,DR,S,,,PLAINFIELD,IL,60586,5,500,"Mercantile, business, Other",2,0,7,B,4,U,N,N,,,,,N,N,,,,,,,"KINDRED HEARTS, INC.",,
"King's Court Builders, Inc. (model Home)",26748-56,,LINDEN GATE,,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Mark,Stefani,630-816-8912,,"KING'S COURT BUILDERS, INC. (MODEL HOME)",MARK,STEFANI
Kingdom Hall Of Jehovah's Witnesses,15827,S,FREDERICK,AVE,,,,Plainfield,IL,60544,1,131,"Church, mosque, synagogue,",1,0,2,C,8,U,N,N,,,,,N,N,,,Brent,Shelburne,815-436-3591,,KINGDOM HALL OF JEHOVAH'S WITNESSES,BRENT,SHELBURNE
Kirwan Mechanical Service,23840,W,INDUSTRIAL,DR,S,,UNIT 1,Plainfield,IL,60585,5,500,"Mercantile, business, Other",1,0,7,B,4,U,1,P,3,C,4,H,N,N,,,William,Kirwan,630-514-0161,,KIRWAN MECHANICAL SERVICE,WILLIAM,KIRWAN
Kitchen Tune-up (home Business),122,S,POPPY,LN,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Robert/mariann,Cozzi,815-254-3300,,KITCHEN TUNE-UP (HOME BUSINESS),ROBERT/MARIANN,COZZI
Kla School,12456,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60585,2,211,Preschool,1,0,,,,,,,,,,,,,,,Selvei,Rajkumar,630-904-4174,,KLA SCHOOL,SELVEI,RAJKUMAR
Klem's Pizza & Grill,2401,W,PLAINFIELD,RD,,,,JOLIET,IL,60435,1,161,Restaurant or cafeteria,1,0,,,,,N,N,,,,,N,N,,,Gus,Klementzos,815-212-1195,,KLEM'S PIZZA & GRILL,GUS,KLEMENTZOS
Klover & Co.,24110,W,LOCKPORT,ST,,,,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,0,,,,,,,,,,,,,,,Tom & Nancy,Klover,815-744-6973,,KLOVER & CO.,TOM & NANCY,KLOVER
Kohl's Department Store #571,11860,S,RT 59,,,,,Plainfield,IL,60544,5,581,Department or discount stor,1,0,,,,,,,,,,,,,,,Karen,Kovacevich,708-977-2977,,KOHL'S DEPARTMENT STORE #571,KAREN,KOVACEVICH
Krema Coffee,24038,W,LOCKPORT,ST,,,,Plainfield,IL,60544,5,549,Specialty shop,2,1,7,B,6,U,N,N,,,,,N,N,,,Debra,Olson,815-405-7578,,KREMA COFFEE,DEBRA,OLSON
Kremer Veterinary Service,24020,W,RIVERWALK,CT,,,UNITS 114-116,PLAINFIELD,IL,60544,5,599,Business office,1,0,2,C,6,U,1,P,1,S,4,H,1,P,12,W,Anthony,Kremer,815-405-1300,,KREMER VETERINARY SERVICE,ANTHONY,KREMER
Krughoff Company (model Home),23025,S,ARBOR CREEK,DR,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,William,Techau,630-417-9402,,KRUGHOFF COMPANY (MODEL HOME),WILLIAM,TECHAU
Krughoff Homes (model Home),13520,S,GOLDEN MEADOW,DR,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Christopher,Landorf,630-878-9441,,KRUGHOFF HOMES (MODEL HOME),CHRISTOPHER,LANDORF
Kumon Center,11850,S,RT 59,,,,UNIT 200,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,0,7,B,4,U,1,P,5,M,4,H,1,P,1,W,,,,,KUMON CENTER,,
Kumon Center,13717,S,RT 30,,,,UNIT 119-B,PLAINFIELD,IL,60544,5,569,"Professional supplies, serv",1,0,7,B,4,U,1,P,5,M,4,H,N,N,,,Nancy,Daru,630-408-1579,,KUMON CENTER,NANCY,DARU
Kurtz Services (home Business),17,S,PRATT,LN,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Theona,Kurtz,815-342-8394,,KURTZ SERVICES (HOME BUSINESS),THEONA,KURTZ
Kuusakoski Recycling,13543,S,RT 30,,,,,PLAINFIELD,IL,60544,7,700,"Manufacturing, processing",3,0,7,B,4,U,1,P,31,S,4,H,1,P,6,H,Jodi,Woodworth,630-849-5383,,KUUSAKOSKI RECYCLING,JODI,WOODWORTH
La Dolce Vita Restaurant,16108,S,RT 59,,,,100-102,PLAINFIELD,IL,60586,1,161,Restaurant or cafeteria,1,1,7,B,4,U,1,P,4,S,4,H,1,P,1,W,Danny,Lombardo,630-257-0699,,LA DOLCE VITA RESTAURANT,DANNY,LOMBARDO
La Salle Bank,819,N,DIVISION,ST,,,,Plainfield,IL,60544,5,592,Bank,0,0,,,,,,,,,,,,,,,Michael,Lamonica,815-609-3076,,LA SALLE BANK,MICHAEL,LAMONICA
Lakeland Homes Inc. (model Home),24138,W,APPLE CREEK,LN,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Jim,Bremer,847-812-6140,,LAKELAND HOMES INC. (MODEL HOME),JIM,BREMER
"Lakeland Homes, Inc. (model Home)",24136,W,APPLE CREEK,LN,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Dennis,Platt,847-489-9460,,"LAKELAND HOMES, INC. (MODEL HOME)",DENNIS,PLATT
Lakelands Building Corp. (model Home),13443,S,LAKESHORE,DR,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Bill,Smith,815-693-9611,,LAKELANDS BUILDING CORP. (MODEL HOME),BILL,SMITH
Lakelands Club Clubhouse,22402,S,LAKE MARY,DR,,,,PLAINFIELD,IL,60585,1,142,Clubhouse,1,0,,,,,,,,,,,,,,,Alan,Nuetzmann,815-715-8880,,LAKELANDS CLUB CLUBHOUSE,ALAN,NUETZMANN
Lakeside Vending Inc. (home Business),24126,W,SIMO,DR,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Martin/patricia,Owens,815-577-6255,,LAKESIDE VENDING INC. (HOME BUSINESS),MARTIN/PATRICIA,OWENS
Lakeside Worship Center,12425,S,RHEA,DR,,,SUITE C,PLAINFIELD,IL,60585,5,599,Business office,1,0,7,B,4,U,N,N,,,,,N,N,,,Dennis,Taylor,815-274-6018,,LAKESIDE WORSHIP CENTER,DENNIS,TAYLOR
Lakewood Center Nursing & Rehabilitation,14716,S,EASTERN,AVE,,,,PLAINFIELD,IL,60544,3,311,"24-hour care Nursing homes,",1,1,2,C,9,N,1,P,5,M,4,H,1,P,1,W,Rehab,Lakewood Nursing &,847-905-3000,,LAKEWOOD CENTER NURSING & REHABILITATION,REHAB,LAKEWOOD NURSING &
"Lance K. Skinkys, Dds, Pc",24402,W,LOCKPORT,ST,,,SUITE 200,PLAINFIELD,IL,60544,3,342,"Doctor, dentist or oral sur",1,0,,,,,,,,,,,,,,,Joann,Hudzik,815-609-8000,,"LANCE K. SKINKYS, DDS, PC",JOANN,HUDZIK
Land Of Vapes,12337,S,RT 59,,,,UNIT 137,PLAINFIELD,IL,60585,5,549,Specialty shop,1,0,7,B,4,U,1,P,1,S,4,H,1,P,1,W,,,,,LAND OF VAPES,,
Larry's Diner,24522,W,LOCKPORT,ST,,,,Plainfield,IL,60544,1,161,Restaurant or cafeteria,1,0,0,R,6,U,N,N,,,,,N,N,,,Kostas Gus,Alexopoulos,708-539-1037,,LARRY'S DINER,KOSTAS GUS,ALEXOPOULOS
Lashes Etc.,24103,W,LOCKPORT,ST,,,UNIT 105,PLAINFIELD,IL,60544,5,557,"Personal service, including",1,0,1,T,8,U,N,N,,,,,N,N,,,Jennifer,Bowman,815-919-4332,,LASHES ETC.,JENNIFER,BOWMAN
Last Chance Auto Repair,12052,S,NAPERVILLE,RD,,,,PLAINFIELD,IL,60585,5,579,Motor vehicle or boat sales,1,0,,,,,,,,,,,,,,,,,,,LAST CHANCE AUTO REPAIR,,
Law Office Of Amanda Waechter,15130,S,RT 59,,,,SUITE 204,PLAINFIELD,IL,60544,5,557,"Personal service, including",2,1,2,C,8,U,N,N,,,,,N,N,,,Linn,Silvers,630-800-4137,,LAW OFFICE OF AMANDA WAECHTER,LINN,SILVERS
Law Office Of Amber Milkula,15130,S,RT 59,,,,SUITE 100,Plainfield,IL,60544,5,569,"Professional supplies, serv",2,1,2,C,8,U,N,N,,,,,N,N,,,,,,,LAW OFFICE OF AMBER MILKULA,,
"Law Office Of John F. Argoudelis, Llc",15133,S,RT 59,,,,,Plainfield,IL,60544,5,569,"Professional supplies, serv",1,0,2,C,8,U,N,N,,,,,N,N,,,John,Argoudelis,630-327-9303,,"LAW OFFICE OF JOHN F. ARGOUDELIS, LLC",JOHN,ARGOUDELIS
"Law Offices Of John F. Argoudelis, Llc",15124,S,RT 59,,,,,PLAINFIELD,IL,60544,5,599,Business office,2,1,2,C,8,U,N,N,,,,,N,N,,,,,,,"LAW OFFICES OF JOHN F. ARGOUDELIS, LLC",,
Law Offices Of Robert F.kramer,16210,S,LINCOLN,HWY,,,UNIT 102,PLAINFIELD,IL,60586,5,599,Business office,2,1,2,C,8,U,N,N,,,,,N,N,,,Steve,Kozlowski,630-200-1476,,LAW OFFICES OF ROBERT F.KRAMER,STEVE,KOZLOWSKI
Lbl Financial,15028,S,DESPLAINES,ST,,,,Plainfield,IL,60544,5,569,"Professional supplies, serv",1,0,,,,,,,,,,,,,,,Robert,Whitley,815-436-3052,,LBL FINANCIAL,ROBERT,WHITLEY
Le's Nails,13400,S,RT 59,,,,UNIT 110,PLAINFIELD,IL,60585,5,557,"Personal service, including",1,0,7,B,4,U,1,P,06,D,4,H,1,P,1,W,Linh,Nguyen,224-637-6487,,LE'S NAILS,LINH,NGUYEN
Leap Of Faith Arts Ministries,14210,S,RT 30,,,,UNITS 126-128,PLAINFIELD,IL,60544,1,110,Fixed-use recreation places,1,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,,,,,LEAP OF FAITH ARTS MINISTRIES,,
Leap Of Faith Arts Ministry,14210,S,RT 30,,,,UNIT 124-126,PLAINFIELD,IL,60544,5,519,"Food and beverage sales, gr",1,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,Becca,Heye,815-274-1514,,LEAP OF FAITH ARTS MINISTRY,BECCA,HEYE
"Legacy Clinical Consultants, Llc",13242,S,RT 59,,,,102 BLDG B,PLAINFIELD,IL,60585,5,599,Business office,3,0,2,C,5,P,,,,,,,,,,,Jeff,Van Meter,630-896-2432,,"LEGACY CLINICAL CONSULTANTS, LLC",JEFF,VAN METER
Leisure Hours Hobbies (bldg Owner),16300,S,LINCOLN,HWY,,,UNIT 2,PLAINFIELD,IL,60586,5,559,"Recreational, hobby, home r",2,1,7,B,4,U,1,P,31,S,4,H,N,N,,,Scott,Hill,815-955-2287,,LEISURE HOURS HOBBIES (BLDG OWNER),SCOTT,HILL
"Lemah Creek Extractions, Llc",13731,S,RT 30,,,,UNIT 107,PLAINFIELD,IL,60544,7,700,"Manufacturing, processing",1,0,7,B,4,U,1,P,31,S,4,H,N,N,,,Michelle,Iannutta,630-772-5965,,"Lemah Creek Extractions, LLC",MICHELLE,IANNUTTA
Lenco Trucking  / A&r Properties,23840,W,ANDREW,RD,,,,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",2,0,7,B,4,U,1,P,1,S,4,H,N,N,,,Len,Ahrens,630-710-5997,,LENCO TRUCKING  / A&R PROPERTIES,LEN,AHRENS
Lennon Counseling Services,2430,W,PLAINFIELD,RD,,,SUITE 2D,CREST HILL,IL,60403,5,569,"Professional supplies, serv",2,0,2,C,6,U,N,N,,,,,N,N,,,Daniel,Lennon,815-725-1629,,LENNON COUNSELING SERVICES,DANIEL,LENNON
Lenny's Gas N Wash,25653,W,LOCKPORT,ST,,,,PLAINFIELD,IL,60544,5,571,"Service station, gas statio",1,0,,,,,,,,,,,,,,,Leonard,Mcenery,779-252-4006,,LENNY'S GAS N WASH,LEONARD,MCENERY
Leto Plumbing & Heating,13717,S,RT 30,,,,UNIT 119 B,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,0,7,B,4,U,1,P,11,S,4,H,N,N,,,Richard,Leto,815-823-3160,,LETO PLUMBING & HEATING,RICHARD,LETO
Level Group,12151,S,RHEA,DR,,,REAR WAREHOUSE,PLAINFIELD,IL,60585,5,599,Business office,2,0,0,R,4,U,1,P,31,S,4,H,N,N,,,Glen,Delarosa,630-806-3882,,LEVEL GROUP,GLEN,DELAROSA
Libertas Arms (home Bus),623,W,JOSEPH,AVE,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Arnold,Germain,815-436-6724,,LIBERTAS ARMS (HOME BUS),ARNOLD,GERMAIN
Liberty Club,14912,S,EASTERN,AVE,,,107,PLAINFIELD,IL,60544,5,599,Business office,1,0,7,B,6,U,1,P,4,S,4,H,1,P,1,W,,,,,LIBERTY CLUB,,
Liberty Grove Pool,25251,W,LIBERTY GROVE,BLVD,,,,PLAINFIELD,IL,60544,1,116,Swimming facility: indoor o,1,0,2,C,6,U,N,N,,,,,N,N,,,,Liberty Grove Hoa,847-459-0000,,LIBERTY GROVE POOL,,LIBERTY GROVE HOA
Liberty Tax Service,16310,S,LINCOLN,HWY,,,UNIT 104,PLAINFIELD,IL,60586,5,599,Business office,1,0,7,B,4,U,1,P,1,S,4,H,N,N,,,David,Rocci,815-355-7625,,LIBERTY TAX SERVICE,DAVID,ROCCI
Life Touch Church,24119,W,RIVERWALK,CT,,,UNIT 133,PLAINFIELD,IL,60544,1,131,"Church, mosque, synagogue,",1,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,Gloria,Eghan,630-362-2022,,LIFE TOUCH CHURCH,GLORIA,EGHAN
Lifespring Community Church,14735,S,WOOD FARM,RD,,,,PLAINFIELD,IL,60544,1,131,"Church, mosque, synagogue,",1,0,2,C,6,U,1,P,5,M,4,H,1,P,2,D,Francis,Leeman,815-325-5483,,LIFESPRING COMMUNITY CHURCH,FRANCIS,LEEMAN
Lifetime Health & Wellness,11258,S,RT 59,,,,SUITE 2,NAPERVILLE,IL,60564,3,342,"Doctor, dentist or oral sur",1,0,6,M,8,U,N,N,,,,,N,N,,,,Morton Buldings Inc.,630-904-1122,,LIFETIME HEALTH & WELLNESS,,MORTON BULDINGS INC.
Light Source Lighting,16114,S,RT 59,,,,UNIT 100,PLAINFIELD,IL,60586,5,549,Specialty shop,2,1,7,B,4,U,1,P,5,M,4,H,1,P,1,W,Biran,Mckenna,815-254-1255,,LIGHT SOURCE LIGHTING,BIRAN,MCKENNA
Lighthouse Academy,14959,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,2,211,Preschool,1,1,7,B,4,U,1,P,5,M,4,H,1,P,1,W,Shannon,Flores,630-715-1603,,LIGHTHOUSE ACADEMY,SHANNON,FLORES
Lil Bo-tique,13717,S,RT 30,,,,UNIT 105-A,PLAINFIELD,IL,60544,5,529,"Textile, wearing apparel sa",1,0,7,B,4,U,1,P,31,S,4,H,N,N,,,Brenda,Hull,815-671-0231,,LIL BO-TIQUE,BRENDA,HULL
Lily Cache Plaza,16200,S,LINCOLN,HWY,,,,Plainfield,IL,60586,5,500,"Mercantile, business, Other",1,0,7,B,4,U,N,N,,,,,N,N,,,Sam,Zarcone,312-543-0490,,LILY CACHE PLAZA,SAM,ZARCONE
Limelight Medspa & Cosmetic Laser Center,12640,S,RT 59,,,,UNIT 108,PLAINFIELD,IL,60585,3,342,"Doctor, dentist or oral sur",1,0,7,B,4,U,1,P,06,D,4,H,1,P,1,W,Neena,Will,815-267-8830,,LIMELIGHT MEDSPA & COSMETIC LASER CENTER,NEENA,WILL
Lincoln Plaza,16030,S,LINCOLN,HWY,,,,PLAINFIELD,IL,60586,5,500,"Mercantile, business, Other",2,1,2,C,8,U,N,N,,,,,N,N,,,Napoleon,Karnezis,815-634-8234,,LINCOLN PLAZA,NAPOLEON,KARNEZIS
Lincoln Way Barbershop,24045,W,LOCKPORT,ST,,,,PLAINFIELD,IL,60544,5,557,"Personal service, including",1,0,,,,,,,,,,,,,,,Donald,Kinley,815-436-6466,,LINCOLN WAY BARBERSHOP,DONALD,KINLEY
Lincolnshire Apartments East Bldg,15002,S,WOOD FARM,RD,,15002-15012 AND 15014-15028,,PLAINFIELD,IL,60544,4,429,Multifamily dwelling,2,0,2,C,6,U,1,P,1,S,4,H,N,N,,,Bill,Habiger,815-773-2302,,LINCOLNSHIRE APARTMENTS EAST BLDG,BILL,HABIGER
Lincolnshire Apartments North Bldg,15100,S,WOOD FARM,RD,,15100-15110 AND 15112-15126,,PLAINFIELD,IL,60544,4,429,Multifamily dwelling,2,0,2,C,6,U,1,P,1,S,4,H,N,N,,,,Maintenance,815-953-0815,,LINCOLNSHIRE APARTMENTS NORTH BLDG,,MAINTENANCE
Lincolnshire Apartments South Bldg,15128,S,WOOD FARM,RD,,15128-15142 AND 15144-15154,,PLAINFIELD,IL,60544,4,429,Multifamily dwelling,2,0,2,C,6,U,1,P,1,S,4,H,N,N,,,Bill,Habiger,815-693-4527,,LINCOLNSHIRE APARTMENTS SOUTH BLDG,BILL,HABIGER
Lincolnshire Apartments West Bldg,15030,S,WOOD FARM,RD,,15030-15044 AND 15046-15056,,PLAINFIELD,IL,60544,4,429,Multifamily dwelling,2,0,2,C,6,U,1,P,1,S,4,H,N,N,,,Bill,Habiger,815-773-2302,,LINCOLNSHIRE APARTMENTS WEST BLDG,BILL,HABIGER
Linden Oaks,24600,W,127TH,ST,,,SUITE 340,PLAINFIELD,IL,60585,3,340,"Clinics, doctors offices, h",3,0,7,B,3,P,1,P,11,S,4,H,1,P,1,W,,Duke Realty,317-808-6228,,LINDEN OAKS,,DUKE REALTY
Linden Oaks Medical Group,24600,W,127TH,ST,,,SUITE 325,PLAINFIELD,IL,60585,3,340,"Clinics, doctors offices, h",3,0,7,B,3,P,1,P,5,M,4,H,1,P,1,W,,Edward Hospital,630-527-3000,,LINDEN OAKS MEDICAL GROUP,,EDWARD HOSPITAL
Linden Oaks Medical Group,24600,W,127TH,ST,,,SUITE 330,PLAINFIELD,IL,60585,3,340,"Clinics, doctors offices, h",3,0,7,B,4,U,1,P,5,M,4,H,1,P,1,W,,,,,LINDEN OAKS MEDICAL GROUP,,
Linden Oaks Plainfield Behavioral Health,24600,W,127TH,ST,,,SUITE 300,PLAINFIELD,IL,60585,3,342,"Doctor, dentist or oral sur",3,0,7,B,3,P,1,P,11,S,4,H,1,P,1,W,Edward,Linden Oaks At,630-305-5500,,LINDEN OAKS PLAINFIELD BEHAVIORAL HEALTH,EDWARD,LINDEN OAKS AT
Lions Martial Arts,16122,S,RT 59,,,,UNIT 114,PLAINFIELD,IL,60586,1,141,Athletic/health club,1,0,7,B,4,U,,,,,,,,,,,Chang,Yoon,815-577-7673,,LIONS MARTIAL ARTS,CHANG,YOON
Lions Plaza,16122,S,RT 59,,,,,Plainfield,IL,60586,5,500,"Mercantile, business, Other",1,0,7,B,4,U,1,P,31,S,4,H,N,N,,,Paul,Beierwaltes,630-379-4745,,LIONS PLAZA,PAUL,BEIERWALTES
Liquor 1,13717,S,RT 30,,,,UNIT 113-A,PLAINFIELD,IL,60544,5,529,"Textile, wearing apparel sa",1,0,7,B,4,U,1,P,31,S,4,H,N,N,,,,Dayfield Properties,815-436-9094,,LIQUOR 1,,DAYFIELD PROPERTIES
Little Explorers Additional Space,24000,W,DAYFIELD,DR,,,SUITE 106,Plainfield,IL,60586,3,342,"Doctor, dentist or oral sur",1,0,7,B,6,U,1,P,1,S,4,H,N,N,,,Mary,Murray,815-577-7598,,LITTLE EXPLORERS ADDITIONAL SPACE,MARY,MURRAY
Little Explorers Additional Space,24000,W,DAYFIELD,DR,,,SUITE 110,Plainfield,IL,60586,3,340,"Clinics, doctors offices, h",2,0,7,B,6,U,1,P,31,S,4,H,N,N,,,,,,,LITTLE EXPLORERS ADDITIONAL SPACE,,
Little Explorers Additional Space,24000,W,DAYFIELD,DR,,,SUITES 104-114,Plainfield,IL,60586,5,592,Bank,1,0,7,B,6,U,1,P,3,C,4,H,N,N,,,Ed,Otstott,815-436-4088,,LITTLE EXPLORERS ADDITIONAL SPACE,ED,OTSTOTT
Little Explorers Additional Space,24000,W,DAYFIELD,DR,,,SUITE 108,Plainfield,IL,60586,5,599,Business office,1,0,7,B,6,U,1,P,1,S,4,H,N,N,,,,,,,LITTLE EXPLORERS ADDITIONAL SPACE,,
Little Explorers Additional Space,24000,W,DAYFIELD,DR,,,SUITE 104,Plainfield,IL,60586,5,549,Specialty shop,1,0,7,B,6,U,1,P,1,S,4,H,N,N,,,,None,630-863-0547,,LITTLE EXPLORERS ADDITIONAL SPACE,,none
Little Explorers Learning Center,24000,W,DAYFIELD,DR,,,SUITE 112,Plainfield,IL,60586,2,200,"Educational, Other",1,0,7,B,6,U,1,P,3,C,4,H,N,N,,,Al,Kagalwalla,630-922-8501,,LITTLE EXPLORERS LEARNING CENTER,AL,KAGALWALLA
Little Italian (annexed To Naperville),10344,S,RT 59,,,,,NAPERVILLE,IL,60564,5,519,"Food and beverage sales, gr",1,0,,,4,U,1,P,1,S,4,H,1,P,0,S,Mark,Pasia,630-546-8649,,LITTLE ITALIAN (ANNEXED TO NAPERVILLE),MARK,PASIA
Little Learner Children's Academy,15420,S,RT 59,,,,120-126,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,0,7,B,4,U,N,N,,,,,N,N,,,Rich,Venegoni,815-741-0012,,LITTLE LEARNER CHILDREN'S ACADEMY,RICH,VENEGONI
Little Learners Business Office,15515,S,RT 59,,,,UNIT 101,PLAINFIELD,IL,60544,5,599,Business office,1,0,7,B,5,P,N,N,,,,,N,N,,,Nick,Diorio,815-258-2348,,LITTLE LEARNERS BUSINESS OFFICE,NICK,DIORIO
Living Faith Assembly Of God,24014,W,RENWICK,RD,,,SUITE 103,PLAINFIELD,IL,60544,5,599,Business office,2,0,2,C,6,U,1,P,5,M,4,H,1,P,2,D,,,,,LIVING FAITH ASSEMBLY OF GOD,,
Lockport Street Gallery,24028,W,LOCKPORT,ST,,,,PLAINFIELD,IL,60544,5,549,Specialty shop,2,1,7,B,6,U,N,N,,,,,N,N,,,John,Bates,815-436-7678,,LOCKPORT STREET GALLERY,JOHN,BATES
Logoplaste,14420,S,VAN DYKE,RD,,,,PLAINFIELD,IL,60544,7,700,"Manufacturing, processing",1,0,7,B,4,U,1,P,5,M,4,H,1,P,1,W,Chris,Nole,513-550-3895,,LOGOPLASTE,CHRIS,NOLE
Longshore Painting & Decorating (home B),218,W,CORBIN,ST,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Gene,Longshore,815-436-3258,,LONGSHORE PAINTING & DECORATING (HOME B),GENE,LONGSHORE
Lorenzini & Associates,16106,S,RT 59,,,,SUITE 100/102,PLAINFIELD,IL,60586,5,599,Business office,2,1,7,B,4,U,1,P,5,M,4,H,1,P,1,W,Todd,Lyle,815-941-4225,,Lorenzini & associates,TODD,LYLE
Lower Level,16300,S,LINCOLN,HWY,,,UNIT 7-8,PLAINFIELD,IL,60586,7,700,"Manufacturing, processing",2,1,7,B,4,U,1,P,31,S,4,H,N,N,,,Bob,Jeter,815-793-3531,,LOWER LEVEL,BOB,JETER
Lucky Dog Academy,14903,S,CENTER,ST,,,UNIT 103 & 105,PLAINFIELD,IL,60544,1,121,"Ballroom, gymnasium",1,0,0,R,6,U,U,U,,,,,U,U,,,Heather,Haggerty,815-302-8143,,LUCKY DOG ACADEMY,HEATHER,HAGGERTY
Luigi's Pizza & Pasta,16200,S,LINCOLN,HWY,,,UNITS  118,PLAINFIELD,IL,60586,1,161,Restaurant or cafeteria,1,0,7,B,4,U,N,N,,,,,N,N,,,Michael,Maretick,708-969-2688,,LUIGI'S PIZZA & PASTA,MICHAEL,MARETICK
Luv 2 Insure U Inc.,13717,S,RT 30,,,,UNIT 103,PLAINFIELD,IL,60544,5,599,Business office,1,0,7,B,4,U,1,P,1,S,4,H,N,N,,,Kejesh,Vesai,815-676-4507,,LUV 2 INSURE U INC.,KEJESH,VESAI
"Luv2serve Enterprises, Inc. (home Bus)",13310,S,ROUND BARN,RD,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,Frank,Burmesch,815-439-7062,,"LUV2SERVE ENTERPRISES, INC. (HOME BUS)",FRANK,BURMESCH
Luz Enterprises Inc.,12249,S,RHEA,DR,,,UNIT 6,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",1,0,6,M,3,P,N,N,,,,,N,N,,,Michael,Luz,630-863-5608,,LUZ ENTERPRISES INC.,MICHAEL,LUZ
Lynch Accounting (home Bus),11420,S,MARATHON,LN,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",0,0,,,,,,,,,,,,,,,David/susan,Lynch,815-439-7886,,LYNCH ACCOUNTING (HOME BUS),DAVID/SUSAN,LYNCH
M. Pancner's House Of Collectibles,24012,W,LOCKPORT,ST,,,BASEMENT,PLAINFIELD,IL,60544,5,500,"Mercantile, business, Other",1,0,,,,,,,,,,,,,,,Jean,Pancner-lundberg,815-735-5120,,M. PANCNER'S HOUSE OF COLLECTIBLES,JEAN,PANCNER-LUNDBERG
